"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"CT:FT","Fortune Minerals Limited","FT","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA34967D1015","","42,094,372","CAD","Analyze"
"CT:KLS","Kelso Technologies Inc Ordinary Shares","KLS","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Industrials","CA48826D2014","","40,740,076","CAD","Analyze"
"CT:CORV","Correvio Pharma Corp.","CORV","07/25/2000","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA22026V1058","","37,067,408","CAD","Analyze"
"CT:IN","InMed Pharmaceuticals Inc.","IN","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA4576375022","","33,732,476","CAD","Analyze"
"CT:VIVO","VIVO Cannabis Inc.","VIVO","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA92845J1049","","33,380,730","CAD","Analyze"
"CT:AVCN","Avicanna Inc","AVCN","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA05368K1003","","32,604,564","CAD","Analyze"
"CT:CGT","Columbus Gold Corporation","CGT","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","","","25,469,728","CAD","Analyze"
"CT:MSV","Minco Silver Corporation","MSV","12/02/2005","Global Equity","Common stocks","Developed markets ex-US","Materials","CA60254C1005","B0SL8P5","24,410,040","CAD","Analyze"
"CT:ASND","Ascendant Resources Inc.","ASND","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA0435041094","","23,056,176","CAD","Analyze"
"CT:BNP","Bonavista Energy Corporation","BNP","07/07/2003","Global Equity","Common stocks","Developed markets ex-US","Energy","CA09784Y1088","B67JFX9","11,909,116","CAD","Analyze"
"CT:BKX","BNK Petroleum Inc.","BKX","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Energy","CA05570P1036","","11,646,151","CAD","Analyze"
"CT:TAO","TAG Oil Ltd","TAO","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Energy","","","11,104,106","CAD","Analyze"
"CT:NRI","Nuvo Pharmaceuticals Inc.","NRI","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA67092F1045","","10,363,080","CAD","Analyze"
"CT:GSV","Gold Standard Ventures Corporation","GSV","01/01/1900","","","","Unknown","","","0","USD","Analyze"
"CT:IMV","IMV Inc.","IMV","01/01/1900","","","","Unknown","","","0","USD","Analyze"
"CT:JOY","Journey Energy Inc.","JOY","01/01/1900","","","","Unknown","","","0","USD","Analyze"
"CT:NOA","North American Construction Group Ltd.","NOA","01/01/1900","","","","Unknown","","","0","USD","Analyze"
"CT:PTM","Platinum Group Metals Ltd.","PTM","01/01/1900","","","","Unknown","","","0","USD","Analyze"
"CT:1832421D","Topicus Inc","1832421D","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Information Technology","CA89072T1021","BNGJNT1","0","CAD","Analyze"
"CT:ACO.X","ATCO LTD CLASS I","ACO.X","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Utilities","CA0467894006","2060615","0","CAD","Analyze"
"CT:AD.UN","Alaris Equity Partners Income Unit","AD.UN","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Financials","CAC010971017","BN6RJP3","0","CAD","Analyze"
"CT:AKU","Akumin Inc.","AKU","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Communication Services","CA01021F1099","","0","CAD","Analyze"
"CT:ALL","Almonty Industries Inc.","ALL","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","","","0","CAD","Analyze"
"CT:APR.UN","Automotive Properties Real Estate","APR.UN","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA05329M1041","BYTCKT3","0","CAD","Analyze"
"CT:ASM","Avino Silver & Gold Mines Ltd.","ASM","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Communication Services","CA0539061030","","0","CAD","Analyze"
"CT:AVNT","Avant Brands Inc","AVNT","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Communication Services","CA05353D1033","","0","CAD","Analyze"
"CT:BAMR","Brookfield Asset Management Reinsu","BAMR","06/28/2021","Global Equity","Common stocks","Developed markets ex-US","Financials","BMG161691073","BM94WM2","0","CAD","Analyze"
"CT:BDGI","Badger Infrastructure Solutions Lt","BDGI","06/26/1997","Global Equity","Common stocks","Developed markets ex-US","Industrials","CA0565331026","BLCW7S7","0","CAD","Analyze"
"CT:BEPC","Brookfield Renewable Subordinate V","BEPC","07/24/2020","Global Equity","Common stocks","Developed markets ex-US","Utilities","CA11284V1058","BMXWR83","0","CAD","Analyze"
"CT:BIP.UN","Brookfield Infrastructure Partners","BIP.UN","10/15/2021","Global Equity","Common stocks","","Utilities","BMG162521014","B2NR6V4","0","CAD","Analyze"
"CT:BOS","Airboss Of America Corp","BOS","06/04/1992","Global Equity","Common stocks","Developed markets ex-US","Materials","CA00927V2003","2256124","0","CAD","Analyze"
"CT:BPY.UN","Brookfield Property Partners LP","BPY.UN","10/15/2021","Global Equity","MLPs","","Real Estate","","","0","CAD","Analyze"
"CT:BTB.UN","Btb Real Estate Investment Units T","BTB.UN","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA11777P3007","B896JK7","0","CAD","Analyze"
"CT:CTS","Converge Technology Solutions Corp.","CTS","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Information Technology","CA21250C1068","BH3ZX78","0","CAD","Analyze"
"CT:DCBO","Docebo Inc","DCBO","10/08/2019","Global Equity","Common stocks","Developed markets ex-US","Information Technology","CA25609L1058","BK5MWP9","0","CAD","Analyze"
"CT:DND","Dye And Durham Ltd","DND","07/17/2020","Global Equity","Common stocks","Developed markets ex-US","Information Technology","CA2674881040","BLCB9D3","0","CAD","Analyze"
"CT:ERE.UN","European Residential Real Estate I","ERE.UN","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA29880W1032","BJGZFR3","0","CAD","Analyze"
"CT:FCR.UN","First Capital Realty Real Estate I","FCR.UN","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA31890B1031","BKSLS55","0","CAD","Analyze"
"CT:FCU","Fission Uranium Corp","FCU","04/30/2013","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA33812R1091","B94QMQ6","0","CAD","Analyze"
"CT:FGE","Fortress Global Enterprises Inc. Class A","FGE","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","","","0","CAD","Analyze"
"CT:FTRP","Field Trip Health Ltd.","FTRP","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA31656R1029","","0","CAD","Analyze"
"CT:FURY","Fury Gold Mines Limited","FURY","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Materials","CA36117T1003","","0","CAD","Analyze"
"CT:GDI","Gdi Integrated Facility Services S","GDI","03/21/2001","Global Equity","Common stocks","Developed markets ex-US","Industrials","CA3615692058","BXQKTF2","0","CAD","Analyze"
"CT:GIB.A","Cgi Inc","GIB.A","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Information Technology","CA12532H1047","BJ2L575","0","CAD","Analyze"
"CT:GLXY","Galaxy Digital Holdings Ltd","GLXY","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Communication Services","KYG370921069","","0","CAD","Analyze"
"CT:GOLD","GoldMining Inc.","GOLD","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Materials","CA38149E1016","","0","CAD","Analyze"
"CT:GTMS","Greenbrook TMS Inc.","GTMS","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA3937041018","","0","CAD","Analyze"
"CT:HR.UN","Handr Real Estate Investment Trust","HR.UN","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA4039254079","BGM8DW6","0","CAD","Analyze"
"CT:IAU","I Gold Corp","IAU","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Materials","CA44955L1067","BN96CD6","0","CAD","Analyze"
"CT:INO.UN","Inovalis Real Estate Investment Un","INO.UN","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA45780E1007","B7SFSM3","0","CAD","Analyze"
"CT:ITH","International Tower Hill Mines Ltd","ITH","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Communication Services","CA46050R1029","","0","CAD","Analyze"
"CT:KNT","K92 Mining Inc","KNT","01/10/2011","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA4991131083","BYZ2CB3","0","CAD","Analyze"
"CT:KOR","Corvus Gold Inc.","KOR","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Communication Services","CA2210131058","","0","CAD","Analyze"
"CT:KRR","Karora Resources Inc.","KRR","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Materials","CA48575L2066","","0","CAD","Analyze"
"CT:LAS.A","Lassonde Industries Sub Voting Inc","LAS.A","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","CA5179071017","2506670","0","CAD","Analyze"
"CT:LEV","The Lion Electric Company","LEV","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Industrials","CA5362211040","","0","CAD","Analyze"
"CT:LWRK","Lifeworks Inc","LWRK","05/17/2021","Global Equity","Common stocks","Developed markets ex-US","Industrials","CA53227W1059","BP2FLD7","0","CAD","Analyze"
"CT:NEXT","NextSource Materials, Inc.","NEXT","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Materials","CA65343M1005","","0","CAD","Analyze"
"CT:NSR","Nomad Royalty Company Ltd.","NSR","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Materials","CA65532M2004","","0","CAD","Analyze"
"CT:NUAG","New Pacific Metals Corp","NUAG","02/03/2000","Global Equity","Common stocks","Developed markets ex-US","Materials","CA64782A1075","BMW5909","0","CAD","Analyze"
"CT:NVEI","Nuvei Subordinate Voting Corp","NVEI","09/17/2020","Global Equity","Common stocks","Developed markets ex-US","Information Technology","CA67079A1021","BMFNHJ5","0","CAD","Analyze"
"CT:NVO","Novo Resources Corp","NVO","01/04/2021","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA67010B1022","B669XF8","0","CAD","Analyze"
"CT:NXR.UN","Nexus Real Estate Investment Units","NXR.UN","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA65342N3159","BMGQQX0","0","CAD","Analyze"
"CT:OLA","Orla Mining Ltd","OLA","11/12/2007","Global Equity","Common stocks","Developed markets ex-US","Materials","CA68634K1066","BYZGJ92","0","CAD","Analyze"
"CT:OM","Osisko Metals Incorporated","OM","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","","","0","CAD","Analyze"
"CT:OTC","Open Text Corp","OTC","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Unknown","","","0","CAD","Analyze"
"CT:PPB","Flutter Entertainment Plc","PPB","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","","99BRW5C","0","CAD","Analyze"
"CT:PPTA","Perpetua Resources Corp.","PPTA","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Materials","CA7142661031","","0","CAD","Analyze"
"CT:PSN","POSEIDON CONCEPTS CORP","PSN","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Energy","CA73731R1038","B63VJ04","0","CAD","Analyze"
"CT:PYR","PyroGenesis Canada Inc.","PYR","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA74734T1049","","0","CAD","Analyze"
"CT:SCR","Score Media and Gaming Inc.","SCR","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","CA80919D2023","","0","CAD","Analyze"
"CT:SGR.UN","Slate Grocery Reit Units Class U","SGR.UN","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA8310622037","BMD6FC5","0","CAD","Analyze"
"CT:SLS","Solaris Resources Inc.","SLS","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Communication Services","CA83419D2014","BMQ5701","0","CAD","Analyze"
"CT:SRT-UN","SLATE RETAIL REIT UNITS CLASS U","SRT-UN","04/22/2014","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA8310221160","BLT5080","0","CAD","Analyze"
"CT:TIXT","TELUS International Inc.","TIXT","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Communication Services","CA87975H1001","","0","CAD","Analyze"
"CT:TLRY","Tilray, Inc. - Class 2","TLRY","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Health Care","US88688T1007","","0","CAD","Analyze"
"CT:TRUL","Trulieve Cannabis Corp.","TRUL","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","","","0","CAD","Analyze"
"CT:TSU","Trisura Group Ltd","TSU","05/30/2017","Global Equity","Common stocks","Developed markets ex-US","Financials","CA89679A2092","BFNJQX3","0","CAD","Analyze"
"CT:UCU","Ucore Rare Metals Inc.","UCU","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Unknown","","","0","CAD","Analyze"
"CT:UEX","UEX Corporation","UEX","07/17/2002","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA9026661061","2967761","0","CAD","Analyze"
"CT:VLNS","The Valens Company Inc","VLNS","10/25/2007","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA91914P1080","BKMPJ38","0","CAD","Analyze"
"CT:WELL","Well Health Technologies Corp","WELL","12/18/2012","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA94947L1022","BF1H8W2","0","CAD","Analyze"
"CT:WFG","West Fraser Timber Co. Ltd","WFG","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Materials","CA9528451052","","0","CAD","Analyze"
"CT:WIR.UN","Wpt Industrial Real Estate Investm","WIR.UN","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA92937G1090","BKVH4G3","0","CAD","Analyze"
"CT:WIRU","Wpt Industrial Real Estate Investm","WIRU","10/15/2021","Global Equity","Common stocks","Developed markets ex-US","Real Estate","CA92937G1090","B8KJHF6","0","CAD","Analyze"
"CT:WLLW","Willow Biosciences, Inc.","WLLW","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Materials","CA97111B4047","","0","CAD","Analyze"
