"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"CT:CXB","Calibre Mining Corp.","CXB","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Materials","CA13000C2058","BGYKMJ0","546,071,744","CAD","Analyze"
"CT:LMNL","Liminal BioSciences Inc.","LMNL","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Health Care","CA53272L1031","","539,542,464","CAD","Analyze"
"CT:CLR","Clearwater Seafoods Incorporated","CLR","07/31/2002","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","CA18538U1066","B709K94","536,820,320","CAD","Analyze"
"CT:BDT","Bird Construction Inc","BDT","02/27/2006","Global Equity","Common stocks","Developed markets ex-US","Industrials","CA09076P1045","B6621M0","535,342,144","CAD","Analyze"
"CT:AGF-B","AGF Management Limited","AGF-B","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Financials","CA0010921058","2001528","535,339,744","CAD","Analyze"
"CT:AFN","Ag Growth International Inc","AFN","06/08/2009","Global Equity","Common stocks","Developed markets ex-US","Capital Goods","CA0011811068","B545BK2","529,747,104","CAD","Analyze"
"CT:ATH","Athabasca Oil Corporation","ATH","04/08/2010","Global Equity","Common stocks","Developed markets ex-US","Energy","CA04682R1073","B8DG7Z4","525,368,256","CAD","Analyze"
"CT:MKP","MCAN Mortgage Corporation","MKP","08/13/1996","Global Equity","Common stocks","Developed markets ex-US","Unknown","CA5791761086","2531382","509,852,608","CAD","Analyze"
"CT:CSW-A","Corby Spirit And Wine Ltd Voting C","CSW-A","03/19/1980","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","CA2183491083","BGFM9N8","504,726,784","CAD","Analyze"
"CT:GCM","Gran Colombia Gold Corp","GCM","01/17/1983","Global Equity","Common stocks","Developed markets ex-US","Materials","CA38501D8089","BDDYDZ5","504,247,296","CAD","Analyze"
"CT:WJX","Wajax Corporation","WJX","06/15/2005","Global Equity","Common stocks","Developed markets ex-US","Industrials","CA9307831052","B66T819","502,327,552","CAD","Analyze"
"CT:CR","Crew Energy Inc","CR","09/10/2003","Global Equity","Common stocks","Developed markets ex-US","Energy","CA2265331074","2554721","496,349,088","CAD","Analyze"
