,name_0,name_1,Search Amount
2117,"""Michael L. Rose""","""Jeffrey Robert Carney""",0
2118,"""Michael L. Rose""","""Francois Olivier""",3
2119,"""Michael L. Rose""","""Randall L. Crawford""",3
2120,"""Michael L. Rose""","""Kevin Andrew McCreadie""",0
2121,"""Michael L. Rose""","""Damon Murchison""",0
2122,"""Michael L. Rose""","""Alan Schwartz""",2
2123,"""Michael L. Rose""","""Neil Rossy""",9
2124,"""Michael L. Rose""","""Ann M. Fandozzi""",0
2125,"""Michael L. Rose""","""Glenn J. Chamandy""",5
2126,"""Michael L. Rose""","""John S. Chen""",10
2127,"""Michael L. Rose""","""Galen G. Weston""",7
2128,"""Michael L. Rose""","""Gary Berman""",1
2129,"""Michael L. Rose""","""Daniel Racine""",1
2130,"""Michael L. Rose""","""Michael H. McCain""",6
2131,"""Michael L. Rose""","""Peter F. Grosskopf""",0
2132,"""Michael L. Rose""","""David Eric Klein""",0
2133,"""Michael L. Rose""","""W. Whitney George""",0
2134,"""Michael L. Rose""","""Brian Johnston Porter""",0
2135,"""Michael L. Rose""","""Graham Patrick Shuttleworth""",0
2136,"""Michael L. Rose""","""William Darryl White""",0
2137,"""Michael L. Rose""","""Stephen Clarkson Peacher""",0
2138,"""Michael L. Rose""","""Derek Neldner""",0
2139,"""Michael L. Rose""","""Bharat B. Masrani""",4
2140,"""Michael L. Rose""","""Kevin J. Thomson""",0
2141,"""Michael L. Rose""","""David Gerard Hutchens""",0
2142,"""Michael L. Rose""","""Luc Mongeau""",0
2143,"""Michael L. Rose""","""Michael J. Cooper""",6
2144,"""Michael L. Rose""","""Steven R. Spaulding""",3
2145,"""Michael L. Rose""","""Navjeet Singh Dhillon""",0
2146,"""Michael L. Rose""","""Laurent Ferreira""",1
2147,"""Michael L. Rose""","""Photis Peter Pascali""",0
2148,"""Michael L. Rose""","""Mirko Bibic""",3
2149,"""Michael L. Rose""","""Scott Carlyle Balfour""",0
2150,"""Michael L. Rose""","""George Raymond Burns""",0
2151,"""Michael L. Rose""","""Randy V. J. Smallwood""",5
2152,"""Michael L. Rose""","""Timothy Michael Miller""",0
2153,"""Michael L. Rose""","""Eric Richer La Fleche""",0
2154,"""Michael L. Rose""","""Terrance Lloyd McKibbon""",0
2155,"""Michael L. Rose""","""Joseph M. Natale""",0
2156,"""Michael L. Rose""","""Michael Cammarata""",0
2157,"""Michael L. Rose""","""Claude Bigras""",1
2158,"""Michael L. Rose""","""Ewout R. Heersink""",0
2159,"""Michael L. Rose""","""L. Scott Thomson""",7
2160,"""Michael L. Rose""","""Pauline Dhillon""",0
2161,"""Michael L. Rose""","""David I. McKay""",0
2162,"""Michael L. Rose""","""Bradley William Corson""",0
2163,"""Michael L. Rose""","""Louis Vachon """,7
2164,"""Michael L. Rose""","""Jose E. Cil""",0
2165,"""Michael L. Rose""","""Nancy C. Southern""",12
2166,"""Michael L. Rose""","""Donald B. Kayne""",1
2167,"""Michael L. Rose""","""Peter Gerald Jan Kukielski""",0
2168,"""Michael L. Rose""","""Daniel Barclay""",0
2169,"""Michael L. Rose""","""Trevor English""",1
2170,"""Michael L. Rose""","""Zoran Stakic""",1
2171,"""Michael L. Rose""","""Alain Bouchard""",9
2172,"""Michael L. Rose""","""Frank Patrick D'Eramo""",0
2173,"""Michael L. Rose""","""Donald M. Jenkins""",0
2174,"""Michael L. Rose""","""Madhu Ranganathan""",4
2175,"""Michael L. Rose""","""Richard Lord""",1
2176,"""Michael L. Rose""","""Anil Wadhwani""",0
2177,"""Michael L. Rose""","""Kevan S. Gorrie""",0
2178,"""Michael L. Rose""","""Ian L. Edwards""",2
2179,"""Michael L. Rose""","""Martin Schwartz""",4
2180,"""Michael L. Rose""","""Jeffrey Schwartz""",4
2181,"""Michael L. Rose""","""Jeff Segel""",2
2182,"""Michael L. Rose""","""Jay A. Forbes""",0
2183,"""Michael L. Rose""","""Thomas J. Appio""",0
2184,"""Michael L. Rose""","""Michael Steinmann""",2
2185,"""Michael L. Rose""","""Simon David Harrison""",0
2186,"""Michael L. Rose""","""Siegfried W. Kiefer""",0
2187,"""Michael L. Rose""","""Timothy Alexander Miller""",0
2188,"""Michael L. Rose""","""Christopher Allan Govan""",0
2189,"""Michael L. Rose""","""Victor G. Dodig""",4
2190,"""Michael L. Rose""","""Paul S. Herendeen""",0
2191,"""Michael L. Rose""","""Mark Kenney""",3
2192,"""Michael L. Rose""","""Geert Verellen""",0
2193,"""Michael L. Rose""","""Ian M. Fillinger""",2
2194,"""Michael L. Rose""","""Robert P. Wildeboer""",1
2195,"""Michael L. Rose""","""Worthing F. Jackman""",7
2196,"""Michael L. Rose""","""Richard Dufresne""",0
2197,"""Michael L. Rose""","""Paul McAleese""",0
2198,"""Michael L. Rose""","""Joseph D. Randell""",2
2199,"""Michael L. Rose""","""Marc Parent""",6
2200,"""Michael L. Rose""","""Stephen Elias Loukas""",0
2201,"""Michael L. Rose""","""Geoffrey Robillard""",0
2202,"""Michael L. Rose""","""Brian Tellef Vaasjo""",0
2203,"""Michael L. Rose""","""Thomas J. Hofstedter""",2
2204,"""Robert M. Le Blanc""","""Rocco Gori""",0
2205,"""Robert M. Le Blanc""","""Keith E. Creel""",0
2206,"""Robert M. Le Blanc""","""Sean Boyd""",14
2207,"""Robert M. Le Blanc""","""Anthony Paul Makuch""",0
2208,"""Robert M. Le Blanc""","""Paul Anthony Mahon""",0
2209,"""Robert M. Le Blanc""","""Barry Sean McInerney""",0
2210,"""Robert M. Le Blanc""","""Jose Boisjoli""",1
2211,"""Robert M. Le Blanc""","""Timothy Shawn McKay""",0
2212,"""Robert M. Le Blanc""","""Jean Gattuso""",0
2213,"""Robert M. Le Blanc""","""Michael Bennett Medline""",0
2214,"""Robert M. Le Blanc""","""Al Monaco""",1
2215,"""Robert M. Le Blanc""","""Geoffrey T. Martin""",0
2216,"""Robert M. Le Blanc""","""Robert Andrew Mionis""",0
2217,"""Robert M. Le Blanc""","""Joseph C. Papa""",6
2218,"""Robert M. Le Blanc""","""Peter J. Marrone""",1
2219,"""Robert M. Le Blanc""","""Jamie Bennett Porteous""",0
2220,"""Robert M. Le Blanc""","""Charles J. G. Brindamour""",0
2221,"""Robert M. Le Blanc""","""Anthony Munk""",74
2222,"""Robert M. Le Blanc""","""Jean-Guy Desjardins""",7
2223,"""Robert M. Le Blanc""","""Jeffrey Robert Carney""",0
2224,"""Robert M. Le Blanc""","""Francois Olivier""",50
2225,"""Robert M. Le Blanc""","""Randall L. Crawford""",0
2226,"""Robert M. Le Blanc""","""Kevin Andrew McCreadie""",0
2227,"""Robert M. Le Blanc""","""Damon Murchison""",0
2228,"""Robert M. Le Blanc""","""Alan Schwartz""",26
2229,"""Robert M. Le Blanc""","""Neil Rossy""",1
2230,"""Robert M. Le Blanc""","""Ann M. Fandozzi""",0
2231,"""Robert M. Le Blanc""","""Glenn J. Chamandy""",0
2232,"""Robert M. Le Blanc""","""John S. Chen""",8260
2233,"""Robert M. Le Blanc""","""Galen G. Weston""",2
2234,"""Robert M. Le Blanc""","""Gary Berman""",1
2235,"""Robert M. Le Blanc""","""Daniel Racine""",5
2236,"""Robert M. Le Blanc""","""Michael H. McCain""",5
2237,"""Robert M. Le Blanc""","""Peter F. Grosskopf""",0
2238,"""Robert M. Le Blanc""","""David Eric Klein""",0
2239,"""Robert M. Le Blanc""","""W. Whitney George""",0
2240,"""Robert M. Le Blanc""","""Brian Johnston Porter""",0
2241,"""Robert M. Le Blanc""","""Graham Patrick Shuttleworth""",0
2242,"""Robert M. Le Blanc""","""William Darryl White""",0
2243,"""Robert M. Le Blanc""","""Stephen Clarkson Peacher""",0
2244,"""Robert M. Le Blanc""","""Derek Neldner""",0
2245,"""Robert M. Le Blanc""","""Bharat B. Masrani""",0
2246,"""Robert M. Le Blanc""","""Kevin J. Thomson""",0
2247,"""Robert M. Le Blanc""","""David Gerard Hutchens""",0
2248,"""Robert M. Le Blanc""","""Luc Mongeau""",0
2249,"""Robert M. Le Blanc""","""Michael J. Cooper""",8
2250,"""Robert M. Le Blanc""","""Steven R. Spaulding""",0
2251,"""Robert M. Le Blanc""","""Navjeet Singh Dhillon""",0
2252,"""Robert M. Le Blanc""","""Laurent Ferreira""",0
2253,"""Robert M. Le Blanc""","""Photis Peter Pascali""",0
2254,"""Robert M. Le Blanc""","""Mirko Bibic""",0
2255,"""Robert M. Le Blanc""","""Scott Carlyle Balfour""",0
2256,"""Robert M. Le Blanc""","""George Raymond Burns""",0
2257,"""Robert M. Le Blanc""","""Randy V. J. Smallwood""",0
2258,"""Robert M. Le Blanc""","""Timothy Michael Miller""",0
2259,"""Robert M. Le Blanc""","""Eric Richer La Fleche""",0
2260,"""Robert M. Le Blanc""","""Terrance Lloyd McKibbon""",0
2261,"""Robert M. Le Blanc""","""Joseph M. Natale""",1
2262,"""Robert M. Le Blanc""","""Michael Cammarata""",4
2263,"""Robert M. Le Blanc""","""Claude Bigras""",0
2264,"""Robert M. Le Blanc""","""Ewout R. Heersink""",60
2265,"""Robert M. Le Blanc""","""L. Scott Thomson""",0
2266,"""Robert M. Le Blanc""","""Pauline Dhillon""",0
2267,"""Robert M. Le Blanc""","""David I. McKay""",5
2268,"""Robert M. Le Blanc""","""Bradley William Corson""",0
2269,"""Robert M. Le Blanc""","""Louis Vachon """,12
2270,"""Robert M. Le Blanc""","""Jose E. Cil""",0
2271,"""Robert M. Le Blanc""","""Nancy C. Southern""",3
2272,"""Robert M. Le Blanc""","""Donald B. Kayne""",0
2273,"""Robert M. Le Blanc""","""Peter Gerald Jan Kukielski""",0
2274,"""Robert M. Le Blanc""","""Daniel Barclay""",0
2275,"""Robert M. Le Blanc""","""Trevor English""",2
2276,"""Robert M. Le Blanc""","""Zoran Stakic""",0
2277,"""Robert M. Le Blanc""","""Alain Bouchard""",25
2278,"""Robert M. Le Blanc""","""Frank Patrick D'Eramo""",0
2279,"""Robert M. Le Blanc""","""Donald M. Jenkins""",0
2280,"""Robert M. Le Blanc""","""Madhu Ranganathan""",0
2281,"""Robert M. Le Blanc""","""Richard Lord""",20
2282,"""Robert M. Le Blanc""","""Anil Wadhwani""",0
2283,"""Robert M. Le Blanc""","""Kevan S. Gorrie""",0
2284,"""Robert M. Le Blanc""","""Ian L. Edwards""",0
2285,"""Robert M. Le Blanc""","""Martin Schwartz""",9
2286,"""Robert M. Le Blanc""","""Jeffrey Schwartz""",19
2287,"""Robert M. Le Blanc""","""Jeff Segel""",0
2288,"""Robert M. Le Blanc""","""Jay A. Forbes""",0
2289,"""Robert M. Le Blanc""","""Thomas J. Appio""",0
2290,"""Robert M. Le Blanc""","""Michael Steinmann""",3
2291,"""Robert M. Le Blanc""","""Simon David Harrison""",0
2292,"""Robert M. Le Blanc""","""Siegfried W. Kiefer""",0
2293,"""Robert M. Le Blanc""","""Timothy Alexander Miller""",0
2294,"""Robert M. Le Blanc""","""Christopher Allan Govan""",66
2295,"""Robert M. Le Blanc""","""Victor G. Dodig""",0
2296,"""Robert M. Le Blanc""","""Paul S. Herendeen""",0
2297,"""Robert M. Le Blanc""","""Mark Kenney""",7
2298,"""Robert M. Le Blanc""","""Geert Verellen""",0
2299,"""Robert M. Le Blanc""","""Ian M. Fillinger""",0
2300,"""Robert M. Le Blanc""","""Robert P. Wildeboer""",0
2301,"""Robert M. Le Blanc""","""Worthing F. Jackman""",10
2302,"""Robert M. Le Blanc""","""Richard Dufresne""",5
2303,"""Robert M. Le Blanc""","""Paul McAleese""",0
2304,"""Robert M. Le Blanc""","""Joseph D. Randell""",0
2305,"""Robert M. Le Blanc""","""Marc Parent""",17
2306,"""Robert M. Le Blanc""","""Stephen Elias Loukas""",0
2307,"""Robert M. Le Blanc""","""Geoffrey Robillard""",0
2308,"""Robert M. Le Blanc""","""Brian Tellef Vaasjo""",0
2309,"""Robert M. Le Blanc""","""Thomas J. Hofstedter""",0
2310,"""Rocco Gori""","""Keith E. Creel""",0
2311,"""Rocco Gori""","""Sean Boyd""",0
2312,"""Rocco Gori""","""Anthony Paul Makuch""",0
2313,"""Rocco Gori""","""Paul Anthony Mahon""",0
2314,"""Rocco Gori""","""Barry Sean McInerney""",0
2315,"""Rocco Gori""","""Jose Boisjoli""",0
2316,"""Rocco Gori""","""Timothy Shawn McKay""",0
2317,"""Rocco Gori""","""Jean Gattuso""",0
2318,"""Rocco Gori""","""Michael Bennett Medline""",0
2319,"""Rocco Gori""","""Al Monaco""",0
2320,"""Rocco Gori""","""Geoffrey T. Martin""",0
2321,"""Rocco Gori""","""Robert Andrew Mionis""",0
2322,"""Rocco Gori""","""Joseph C. Papa""",0
2323,"""Rocco Gori""","""Peter J. Marrone""",0
2324,"""Rocco Gori""","""Jamie Bennett Porteous""",0
2325,"""Rocco Gori""","""Charles J. G. Brindamour""",0
2326,"""Rocco Gori""","""Anthony Munk""",0
2327,"""Rocco Gori""","""Jean-Guy Desjardins""",0
2328,"""Rocco Gori""","""Jeffrey Robert Carney""",0
2329,"""Rocco Gori""","""Francois Olivier""",0
2330,"""Rocco Gori""","""Randall L. Crawford""",0
2331,"""Rocco Gori""","""Kevin Andrew McCreadie""",0
2332,"""Rocco Gori""","""Damon Murchison""",0
2333,"""Rocco Gori""","""Alan Schwartz""",1
2334,"""Rocco Gori""","""Neil Rossy""",0
2335,"""Rocco Gori""","""Ann M. Fandozzi""",0
2336,"""Rocco Gori""","""Glenn J. Chamandy""",0
2337,"""Rocco Gori""","""John S. Chen""",0
2338,"""Rocco Gori""","""Galen G. Weston""",0
2339,"""Rocco Gori""","""Gary Berman""",0
2340,"""Rocco Gori""","""Daniel Racine""",0
2341,"""Rocco Gori""","""Michael H. McCain""",0
2342,"""Rocco Gori""","""Peter F. Grosskopf""",0
2343,"""Rocco Gori""","""David Eric Klein""",0
2344,"""Rocco Gori""","""W. Whitney George""",0
2345,"""Rocco Gori""","""Brian Johnston Porter""",0
2346,"""Rocco Gori""","""Graham Patrick Shuttleworth""",0
2347,"""Rocco Gori""","""William Darryl White""",0
2348,"""Rocco Gori""","""Stephen Clarkson Peacher""",0
2349,"""Rocco Gori""","""Derek Neldner""",0
2350,"""Rocco Gori""","""Bharat B. Masrani""",0
2351,"""Rocco Gori""","""Kevin J. Thomson""",0
2352,"""Rocco Gori""","""David Gerard Hutchens""",0
2353,"""Rocco Gori""","""Luc Mongeau""",0
2354,"""Rocco Gori""","""Michael J. Cooper""",0
2355,"""Rocco Gori""","""Steven R. Spaulding""",0
2356,"""Rocco Gori""","""Navjeet Singh Dhillon""",0
2357,"""Rocco Gori""","""Laurent Ferreira""",0
2358,"""Rocco Gori""","""Photis Peter Pascali""",0
2359,"""Rocco Gori""","""Mirko Bibic""",0
2360,"""Rocco Gori""","""Scott Carlyle Balfour""",0
2361,"""Rocco Gori""","""George Raymond Burns""",0
2362,"""Rocco Gori""","""Randy V. J. Smallwood""",0
2363,"""Rocco Gori""","""Timothy Michael Miller""",0
2364,"""Rocco Gori""","""Eric Richer La Fleche""",0
2365,"""Rocco Gori""","""Terrance Lloyd McKibbon""",0
2366,"""Rocco Gori""","""Joseph M. Natale""",0
2367,"""Rocco Gori""","""Michael Cammarata""",0
2368,"""Rocco Gori""","""Claude Bigras""",0
2369,"""Rocco Gori""","""Ewout R. Heersink""",0
2370,"""Rocco Gori""","""L. Scott Thomson""",0
2371,"""Rocco Gori""","""Pauline Dhillon""",0
2372,"""Rocco Gori""","""David I. McKay""",0
2373,"""Rocco Gori""","""Bradley William Corson""",0
2374,"""Rocco Gori""","""Louis Vachon """,0
2375,"""Rocco Gori""","""Jose E. Cil""",0
2376,"""Rocco Gori""","""Nancy C. Southern""",0
2377,"""Rocco Gori""","""Donald B. Kayne""",0
2378,"""Rocco Gori""","""Peter Gerald Jan Kukielski""",0
2379,"""Rocco Gori""","""Daniel Barclay""",0
2380,"""Rocco Gori""","""Trevor English""",0
2381,"""Rocco Gori""","""Zoran Stakic""",0
2382,"""Rocco Gori""","""Alain Bouchard""",0
2383,"""Rocco Gori""","""Frank Patrick D'Eramo""",0
2384,"""Rocco Gori""","""Donald M. Jenkins""",0
2385,"""Rocco Gori""","""Madhu Ranganathan""",0
2386,"""Rocco Gori""","""Richard Lord""",0
2387,"""Rocco Gori""","""Anil Wadhwani""",799
2388,"""Rocco Gori""","""Kevan S. Gorrie""",0
2389,"""Rocco Gori""","""Ian L. Edwards""",0
2390,"""Rocco Gori""","""Martin Schwartz""",0
2391,"""Rocco Gori""","""Jeffrey Schwartz""",0
2392,"""Rocco Gori""","""Jeff Segel""",0
2393,"""Rocco Gori""","""Jay A. Forbes""",0
2394,"""Rocco Gori""","""Thomas J. Appio""",0
2395,"""Rocco Gori""","""Michael Steinmann""",0
2396,"""Rocco Gori""","""Simon David Harrison""",0
2397,"""Rocco Gori""","""Siegfried W. Kiefer""",0
2398,"""Rocco Gori""","""Timothy Alexander Miller""",0
2399,"""Rocco Gori""","""Christopher Allan Govan""",0
2400,"""Rocco Gori""","""Victor G. Dodig""",0
2401,"""Rocco Gori""","""Paul S. Herendeen""",0
2402,"""Rocco Gori""","""Mark Kenney""",0
2403,"""Rocco Gori""","""Geert Verellen""",0
2404,"""Rocco Gori""","""Ian M. Fillinger""",0
2405,"""Rocco Gori""","""Robert P. Wildeboer""",0
2406,"""Rocco Gori""","""Worthing F. Jackman""",0
2407,"""Rocco Gori""","""Richard Dufresne""",0
2408,"""Rocco Gori""","""Paul McAleese""",0
2409,"""Rocco Gori""","""Joseph D. Randell""",0
2410,"""Rocco Gori""","""Marc Parent""",1
2411,"""Rocco Gori""","""Stephen Elias Loukas""",0
2412,"""Rocco Gori""","""Geoffrey Robillard""",0
2413,"""Rocco Gori""","""Brian Tellef Vaasjo""",0
2414,"""Rocco Gori""","""Thomas J. Hofstedter""",0
2415,"""Keith E. Creel""","""Sean Boyd""",24
2416,"""Keith E. Creel""","""Anthony Paul Makuch""",0
2417,"""Keith E. Creel""","""Paul Anthony Mahon""",0
2418,"""Keith E. Creel""","""Barry Sean McInerney""",0
2419,"""Keith E. Creel""","""Jose Boisjoli""",4
2420,"""Keith E. Creel""","""Timothy Shawn McKay""",0
2421,"""Keith E. Creel""","""Jean Gattuso""",0
2422,"""Keith E. Creel""","""Michael Bennett Medline""",0
2423,"""Keith E. Creel""","""Al Monaco""",36
2424,"""Keith E. Creel""","""Geoffrey T. Martin""",1
2425,"""Keith E. Creel""","""Robert Andrew Mionis""",0
2426,"""Keith E. Creel""","""Joseph C. Papa""",468
2427,"""Keith E. Creel""","""Peter J. Marrone""",0
2428,"""Keith E. Creel""","""Jamie Bennett Porteous""",0
2429,"""Keith E. Creel""","""Charles J. G. Brindamour""",7
2430,"""Keith E. Creel""","""Anthony Munk""",11
2431,"""Keith E. Creel""","""Jean-Guy Desjardins""",0
2432,"""Keith E. Creel""","""Jeffrey Robert Carney""",0
2433,"""Keith E. Creel""","""Francois Olivier""",16
2434,"""Keith E. Creel""","""Randall L. Crawford""",8
2435,"""Keith E. Creel""","""Kevin Andrew McCreadie""",0
2436,"""Keith E. Creel""","""Damon Murchison""",0
2437,"""Keith E. Creel""","""Alan Schwartz""",1
2438,"""Keith E. Creel""","""Neil Rossy""",17
2439,"""Keith E. Creel""","""Ann M. Fandozzi""",0
2440,"""Keith E. Creel""","""Glenn J. Chamandy""",19
2441,"""Keith E. Creel""","""John S. Chen""",251
2442,"""Keith E. Creel""","""Galen G. Weston""",18
2443,"""Keith E. Creel""","""Gary Berman""",2
2444,"""Keith E. Creel""","""Daniel Racine""",3
2445,"""Keith E. Creel""","""Michael H. McCain""",21
2446,"""Keith E. Creel""","""Peter F. Grosskopf""",0
2447,"""Keith E. Creel""","""David Eric Klein""",0
2448,"""Keith E. Creel""","""W. Whitney George""",0
2449,"""Keith E. Creel""","""Brian Johnston Porter""",0
2450,"""Keith E. Creel""","""Graham Patrick Shuttleworth""",0
2451,"""Keith E. Creel""","""William Darryl White""",0
2452,"""Keith E. Creel""","""Stephen Clarkson Peacher""",0
2453,"""Keith E. Creel""","""Derek Neldner""",0
2454,"""Keith E. Creel""","""Bharat B. Masrani""",22
2455,"""Keith E. Creel""","""Kevin J. Thomson""",0
2456,"""Keith E. Creel""","""David Gerard Hutchens""",0
2457,"""Keith E. Creel""","""Luc Mongeau""",0
2458,"""Keith E. Creel""","""Michael J. Cooper""",3
2459,"""Keith E. Creel""","""Steven R. Spaulding""",4
2460,"""Keith E. Creel""","""Navjeet Singh Dhillon""",0
2461,"""Keith E. Creel""","""Laurent Ferreira""",1
2462,"""Keith E. Creel""","""Photis Peter Pascali""",0
2463,"""Keith E. Creel""","""Mirko Bibic""",15
2464,"""Keith E. Creel""","""Scott Carlyle Balfour""",0
2465,"""Keith E. Creel""","""George Raymond Burns""",0
2466,"""Keith E. Creel""","""Randy V. J. Smallwood""",15
2467,"""Keith E. Creel""","""Timothy Michael Miller""",0
2468,"""Keith E. Creel""","""Eric Richer La Fleche""",0
2469,"""Keith E. Creel""","""Terrance Lloyd McKibbon""",0
2470,"""Keith E. Creel""","""Joseph M. Natale""",1
2471,"""Keith E. Creel""","""Michael Cammarata""",0
2472,"""Keith E. Creel""","""Claude Bigras""",1
2473,"""Keith E. Creel""","""Ewout R. Heersink""",0
2474,"""Keith E. Creel""","""L. Scott Thomson""",22
2475,"""Keith E. Creel""","""Pauline Dhillon""",0
2476,"""Keith E. Creel""","""David I. McKay""",12
2477,"""Keith E. Creel""","""Bradley William Corson""",0
2478,"""Keith E. Creel""","""Louis Vachon """,17
2479,"""Keith E. Creel""","""Jose E. Cil""",0
2480,"""Keith E. Creel""","""Nancy C. Southern""",2
2481,"""Keith E. Creel""","""Donald B. Kayne""",2
2482,"""Keith E. Creel""","""Peter Gerald Jan Kukielski""",0
2483,"""Keith E. Creel""","""Daniel Barclay""",0
2484,"""Keith E. Creel""","""Trevor English""",1
2485,"""Keith E. Creel""","""Zoran Stakic""",2
2486,"""Keith E. Creel""","""Alain Bouchard""",30
2487,"""Keith E. Creel""","""Frank Patrick D'Eramo""",0
2488,"""Keith E. Creel""","""Donald M. Jenkins""",0
2489,"""Keith E. Creel""","""Madhu Ranganathan""",10
2490,"""Keith E. Creel""","""Richard Lord""",2
2491,"""Keith E. Creel""","""Anil Wadhwani""",1
2492,"""Keith E. Creel""","""Kevan S. Gorrie""",0
2493,"""Keith E. Creel""","""Ian L. Edwards""",2
2494,"""Keith E. Creel""","""Martin Schwartz""",1
2495,"""Keith E. Creel""","""Jeffrey Schwartz""",3
2496,"""Keith E. Creel""","""Jeff Segel""",1
2497,"""Keith E. Creel""","""Jay A. Forbes""",2
2498,"""Keith E. Creel""","""Thomas J. Appio""",0
2499,"""Keith E. Creel""","""Michael Steinmann""",2
2500,"""Keith E. Creel""","""Simon David Harrison""",0
2501,"""Keith E. Creel""","""Siegfried W. Kiefer""",0
2502,"""Keith E. Creel""","""Timothy Alexander Miller""",0
2503,"""Keith E. Creel""","""Christopher Allan Govan""",0
2504,"""Keith E. Creel""","""Victor G. Dodig""",24
2505,"""Keith E. Creel""","""Paul S. Herendeen""",0
2506,"""Keith E. Creel""","""Mark Kenney""",8
2507,"""Keith E. Creel""","""Geert Verellen""",0
2508,"""Keith E. Creel""","""Ian M. Fillinger""",3
2509,"""Keith E. Creel""","""Robert P. Wildeboer""",0
2510,"""Keith E. Creel""","""Worthing F. Jackman""",11
2511,"""Keith E. Creel""","""Richard Dufresne""",0
2512,"""Keith E. Creel""","""Paul McAleese""",0
2513,"""Keith E. Creel""","""Joseph D. Randell""",2
2514,"""Keith E. Creel""","""Marc Parent""",26
2515,"""Keith E. Creel""","""Stephen Elias Loukas""",0
2516,"""Keith E. Creel""","""Geoffrey Robillard""",0
2517,"""Keith E. Creel""","""Brian Tellef Vaasjo""",0
2518,"""Keith E. Creel""","""Thomas J. Hofstedter""",7
2519,"""Sean Boyd""","""Anthony Paul Makuch""",1
2520,"""Sean Boyd""","""Paul Anthony Mahon""",0
2521,"""Sean Boyd""","""Barry Sean McInerney""",0
2522,"""Sean Boyd""","""Jose Boisjoli""",25
2523,"""Sean Boyd""","""Timothy Shawn McKay""",0
2524,"""Sean Boyd""","""Jean Gattuso""",1
2525,"""Sean Boyd""","""Michael Bennett Medline""",0
2526,"""Sean Boyd""","""Al Monaco""",63
2527,"""Sean Boyd""","""Geoffrey T. Martin""",9
2528,"""Sean Boyd""","""Robert Andrew Mionis""",0
2529,"""Sean Boyd""","""Joseph C. Papa""",23
2530,"""Sean Boyd""","""Peter J. Marrone""",7
2531,"""Sean Boyd""","""Jamie Bennett Porteous""",0
2532,"""Sean Boyd""","""Charles J. G. Brindamour""",6
2533,"""Sean Boyd""","""Anthony Munk""",33
2534,"""Sean Boyd""","""Jean-Guy Desjardins""",3
2535,"""Sean Boyd""","""Jeffrey Robert Carney""",0
2536,"""Sean Boyd""","""Francois Olivier""",26
2537,"""Sean Boyd""","""Randall L. Crawford""",8
2538,"""Sean Boyd""","""Kevin Andrew McCreadie""",0
2539,"""Sean Boyd""","""Damon Murchison""",0
2540,"""Sean Boyd""","""Alan Schwartz""",18
2541,"""Sean Boyd""","""Neil Rossy""",29
2542,"""Sean Boyd""","""Ann M. Fandozzi""",0
2543,"""Sean Boyd""","""Glenn J. Chamandy""",18
2544,"""Sean Boyd""","""John S. Chen""",36
2545,"""Sean Boyd""","""Galen G. Weston""",30
2546,"""Sean Boyd""","""Gary Berman""",6
2547,"""Sean Boyd""","""Daniel Racine""",53
2548,"""Sean Boyd""","""Michael H. McCain""",26
2549,"""Sean Boyd""","""Peter F. Grosskopf""",0
2550,"""Sean Boyd""","""David Eric Klein""",0
2551,"""Sean Boyd""","""W. Whitney George""",1
2552,"""Sean Boyd""","""Brian Johnston Porter""",0
2553,"""Sean Boyd""","""Graham Patrick Shuttleworth""",1
2554,"""Sean Boyd""","""William Darryl White""",0
2555,"""Sean Boyd""","""Stephen Clarkson Peacher""",0
2556,"""Sean Boyd""","""Derek Neldner""",0
2557,"""Sean Boyd""","""Bharat B. Masrani""",20
2558,"""Sean Boyd""","""Kevin J. Thomson""",0
2559,"""Sean Boyd""","""David Gerard Hutchens""",0
2560,"""Sean Boyd""","""Luc Mongeau""",2
2561,"""Sean Boyd""","""Michael J. Cooper""",18
2562,"""Sean Boyd""","""Steven R. Spaulding""",2
2563,"""Sean Boyd""","""Navjeet Singh Dhillon""",0
2564,"""Sean Boyd""","""Laurent Ferreira""",2
2565,"""Sean Boyd""","""Photis Peter Pascali""",0
2566,"""Sean Boyd""","""Mirko Bibic""",19
2567,"""Sean Boyd""","""Scott Carlyle Balfour""",0
2568,"""Sean Boyd""","""George Raymond Burns""",0
2569,"""Sean Boyd""","""Randy V. J. Smallwood""",25
2570,"""Sean Boyd""","""Timothy Michael Miller""",0
2571,"""Sean Boyd""","""Eric Richer La Fleche""",2
2572,"""Sean Boyd""","""Terrance Lloyd McKibbon""",0
2573,"""Sean Boyd""","""Joseph M. Natale""",2
2574,"""Sean Boyd""","""Michael Cammarata""",0
2575,"""Sean Boyd""","""Claude Bigras""",1
2576,"""Sean Boyd""","""Ewout R. Heersink""",0
2577,"""Sean Boyd""","""L. Scott Thomson""",28
2578,"""Sean Boyd""","""Pauline Dhillon""",0
2579,"""Sean Boyd""","""David I. McKay""",7
2580,"""Sean Boyd""","""Bradley William Corson""",0
2581,"""Sean Boyd""","""Louis Vachon """,54
2582,"""Sean Boyd""","""Jose E. Cil""",0
2583,"""Sean Boyd""","""Nancy C. Southern""",22
2584,"""Sean Boyd""","""Donald B. Kayne""",3
2585,"""Sean Boyd""","""Peter Gerald Jan Kukielski""",0
2586,"""Sean Boyd""","""Daniel Barclay""",3
2587,"""Sean Boyd""","""Trevor English""",0
2588,"""Sean Boyd""","""Zoran Stakic""",1
