,name_0,name_1,Search Amount
88,"""Mark J. Barrenechea""","""Peter Gerald Jan Kukielski""",0
89,"""Mark J. Barrenechea""","""Daniel Barclay""",0
90,"""Mark J. Barrenechea""","""Trevor English""",0
91,"""Mark J. Barrenechea""","""Zoran Stakic""",0
92,"""Mark J. Barrenechea""","""Alain Bouchard""",46
93,"""Mark J. Barrenechea""","""Frank Patrick D'Eramo""",0
94,"""Mark J. Barrenechea""","""Donald M. Jenkins""",0
95,"""Mark J. Barrenechea""","""Madhu Ranganathan""",2080
96,"""Mark J. Barrenechea""","""Richard Lord""",1
97,"""Mark J. Barrenechea""","""Anil Wadhwani""",0
98,"""Mark J. Barrenechea""","""Kevan S. Gorrie""",0
99,"""Mark J. Barrenechea""","""Ian L. Edwards""",5
100,"""Mark J. Barrenechea""","""Martin Schwartz""",4
101,"""Mark J. Barrenechea""","""Jeffrey Schwartz""",7
102,"""Mark J. Barrenechea""","""Jeff Segel""",2
103,"""Mark J. Barrenechea""","""Jay A. Forbes""",0
104,"""Mark J. Barrenechea""","""Thomas J. Appio""",0
105,"""Mark J. Barrenechea""","""Michael Steinmann""",3
106,"""Mark J. Barrenechea""","""Simon David Harrison""",18
107,"""Mark J. Barrenechea""","""Siegfried W. Kiefer""",0
108,"""Mark J. Barrenechea""","""Timothy Alexander Miller""",0
109,"""Mark J. Barrenechea""","""Christopher Allan Govan""",0
110,"""Mark J. Barrenechea""","""Victor G. Dodig""",20
111,"""Mark J. Barrenechea""","""Paul S. Herendeen""",0
112,"""Mark J. Barrenechea""","""Mark Kenney""",7
113,"""Mark J. Barrenechea""","""Geert Verellen""",0
114,"""Mark J. Barrenechea""","""Ian M. Fillinger""",3
115,"""Mark J. Barrenechea""","""Robert P. Wildeboer""",0
116,"""Mark J. Barrenechea""","""Worthing F. Jackman""",33
117,"""Mark J. Barrenechea""","""Richard Dufresne""",0
118,"""Mark J. Barrenechea""","""Paul McAleese""",0
119,"""Mark J. Barrenechea""","""Joseph D. Randell""",3
120,"""Mark J. Barrenechea""","""Marc Parent""",52
121,"""Mark J. Barrenechea""","""Stephen Elias Loukas""",0
122,"""Mark J. Barrenechea""","""Geoffrey Robillard""",0
123,"""Mark J. Barrenechea""","""Brian Tellef Vaasjo""",0
124,"""Mark J. Barrenechea""","""Thomas J. Hofstedter""",4
125,"""Patrick Dovigi""","""Linda S. Hasenfratz""",0
126,"""Patrick Dovigi""","""Bradley S. Shaw""",0
127,"""Patrick Dovigi""","""Frank J. Hasenfratz""",0
128,"""Patrick Dovigi""","""Norman Murray Edwards""",0
129,"""Patrick Dovigi""","""Dennis Mark Bristow""",0
130,"""Patrick Dovigi""","""John Lawson Thornton""",0
131,"""Patrick Dovigi""","""Gerald Wilfred Schwartz""",0
132,"""Patrick Dovigi""","""Alain Bedard""",7
133,"""Patrick Dovigi""","""Alan Kestenbaum""",0
134,"""Patrick Dovigi""","""Jim Jarrell""",0
135,"""Patrick Dovigi""","""P. Jane Gavan""",0
136,"""Patrick Dovigi""","""Brian P. Hannasch""",0
137,"""Patrick Dovigi""","""Stephen John Hasker""",0
138,"""Patrick Dovigi""","""Dani Reiss""",3
139,"""Patrick Dovigi""","""Ajay Kumar Virmani""",0
140,"""Patrick Dovigi""","""Donald R. Lindsay""",0
141,"""Patrick Dovigi""","""Michael L. Rose""",0
142,"""Patrick Dovigi""","""Robert M. Le Blanc""",0
143,"""Patrick Dovigi""","""Rocco Gori""",0
144,"""Patrick Dovigi""","""Keith E. Creel""",0
145,"""Patrick Dovigi""","""Sean Boyd""",2
146,"""Patrick Dovigi""","""Anthony Paul Makuch""",0
147,"""Patrick Dovigi""","""Paul Anthony Mahon""",0
148,"""Patrick Dovigi""","""Barry Sean McInerney""",0
149,"""Patrick Dovigi""","""Jose Boisjoli""",6
150,"""Patrick Dovigi""","""Timothy Shawn McKay""",0
151,"""Patrick Dovigi""","""Jean Gattuso""",2
152,"""Patrick Dovigi""","""Michael Bennett Medline""",0
153,"""Patrick Dovigi""","""Al Monaco""",4
154,"""Patrick Dovigi""","""Geoffrey T. Martin""",0
155,"""Patrick Dovigi""","""Robert Andrew Mionis""",0
156,"""Patrick Dovigi""","""Joseph C. Papa""",0
157,"""Patrick Dovigi""","""Peter J. Marrone""",0
158,"""Patrick Dovigi""","""Jamie Bennett Porteous""",0
159,"""Patrick Dovigi""","""Charles J. G. Brindamour""",0
160,"""Patrick Dovigi""","""Anthony Munk""",0
161,"""Patrick Dovigi""","""Jean-Guy Desjardins""",0
162,"""Patrick Dovigi""","""Jeffrey Robert Carney""",0
163,"""Patrick Dovigi""","""Francois Olivier""",2
164,"""Patrick Dovigi""","""Randall L. Crawford""",0
165,"""Patrick Dovigi""","""Kevin Andrew McCreadie""",0
166,"""Patrick Dovigi""","""Damon Murchison""",0
167,"""Patrick Dovigi""","""Alan Schwartz""",0
168,"""Patrick Dovigi""","""Neil Rossy""",7
169,"""Patrick Dovigi""","""Ann M. Fandozzi""",0
170,"""Patrick Dovigi""","""Glenn J. Chamandy""",0
171,"""Patrick Dovigi""","""John S. Chen""",0
172,"""Patrick Dovigi""","""Galen G. Weston""",2
173,"""Patrick Dovigi""","""Gary Berman""",1
174,"""Patrick Dovigi""","""Daniel Racine""",2
175,"""Patrick Dovigi""","""Michael H. McCain""",0
176,"""Patrick Dovigi""","""Peter F. Grosskopf""",0
177,"""Patrick Dovigi""","""David Eric Klein""",0
178,"""Patrick Dovigi""","""W. Whitney George""",0
179,"""Patrick Dovigi""","""Brian Johnston Porter""",0
180,"""Patrick Dovigi""","""Graham Patrick Shuttleworth""",0
181,"""Patrick Dovigi""","""William Darryl White""",0
182,"""Patrick Dovigi""","""Stephen Clarkson Peacher""",0
183,"""Patrick Dovigi""","""Derek Neldner""",0
184,"""Patrick Dovigi""","""Bharat B. Masrani""",0
185,"""Patrick Dovigi""","""Kevin J. Thomson""",0
186,"""Patrick Dovigi""","""David Gerard Hutchens""",0
187,"""Patrick Dovigi""","""Luc Mongeau""",0
188,"""Patrick Dovigi""","""Michael J. Cooper""",0
189,"""Patrick Dovigi""","""Steven R. Spaulding""",0
190,"""Patrick Dovigi""","""Navjeet Singh Dhillon""",0
191,"""Patrick Dovigi""","""Laurent Ferreira""",0
192,"""Patrick Dovigi""","""Photis Peter Pascali""",6
193,"""Patrick Dovigi""","""Mirko Bibic""",6
194,"""Patrick Dovigi""","""Scott Carlyle Balfour""",0
195,"""Patrick Dovigi""","""George Raymond Burns""",0
196,"""Patrick Dovigi""","""Randy V. J. Smallwood""",0
197,"""Patrick Dovigi""","""Timothy Michael Miller""",0
198,"""Patrick Dovigi""","""Eric Richer La Fleche""",0
199,"""Patrick Dovigi""","""Terrance Lloyd McKibbon""",0
200,"""Patrick Dovigi""","""Joseph M. Natale""",0
201,"""Patrick Dovigi""","""Michael Cammarata""",0
202,"""Patrick Dovigi""","""Claude Bigras""",0
203,"""Patrick Dovigi""","""Ewout R. Heersink""",0
204,"""Patrick Dovigi""","""L. Scott Thomson""",0
205,"""Patrick Dovigi""","""Pauline Dhillon""",0
206,"""Patrick Dovigi""","""David I. McKay""",0
207,"""Patrick Dovigi""","""Bradley William Corson""",0
208,"""Patrick Dovigi""","""Louis Vachon """,7
209,"""Patrick Dovigi""","""Jose E. Cil""",0
210,"""Patrick Dovigi""","""Nancy C. Southern""",0
211,"""Patrick Dovigi""","""Donald B. Kayne""",0
212,"""Patrick Dovigi""","""Peter Gerald Jan Kukielski""",0
213,"""Patrick Dovigi""","""Daniel Barclay""",0
214,"""Patrick Dovigi""","""Trevor English""",0
215,"""Patrick Dovigi""","""Zoran Stakic""",0
216,"""Patrick Dovigi""","""Alain Bouchard""",4
217,"""Patrick Dovigi""","""Frank Patrick D'Eramo""",0
218,"""Patrick Dovigi""","""Donald M. Jenkins""",0
219,"""Patrick Dovigi""","""Madhu Ranganathan""",1
220,"""Patrick Dovigi""","""Richard Lord""",0
221,"""Patrick Dovigi""","""Anil Wadhwani""",0
222,"""Patrick Dovigi""","""Kevan S. Gorrie""",0
223,"""Patrick Dovigi""","""Ian L. Edwards""",0
224,"""Patrick Dovigi""","""Martin Schwartz""",0
225,"""Patrick Dovigi""","""Jeffrey Schwartz""",0
226,"""Patrick Dovigi""","""Jeff Segel""",0
227,"""Patrick Dovigi""","""Jay A. Forbes""",0
228,"""Patrick Dovigi""","""Thomas J. Appio""",0
229,"""Patrick Dovigi""","""Michael Steinmann""",2
230,"""Patrick Dovigi""","""Simon David Harrison""",0
231,"""Patrick Dovigi""","""Siegfried W. Kiefer""",0
232,"""Patrick Dovigi""","""Timothy Alexander Miller""",0
233,"""Patrick Dovigi""","""Christopher Allan Govan""",0
234,"""Patrick Dovigi""","""Victor G. Dodig""",0
235,"""Patrick Dovigi""","""Paul S. Herendeen""",0
236,"""Patrick Dovigi""","""Mark Kenney""",2
237,"""Patrick Dovigi""","""Geert Verellen""",0
238,"""Patrick Dovigi""","""Ian M. Fillinger""",0
239,"""Patrick Dovigi""","""Robert P. Wildeboer""",0
240,"""Patrick Dovigi""","""Worthing F. Jackman""",13
241,"""Patrick Dovigi""","""Richard Dufresne""",3
242,"""Patrick Dovigi""","""Paul McAleese""",0
243,"""Patrick Dovigi""","""Joseph D. Randell""",0
244,"""Patrick Dovigi""","""Marc Parent""",5
245,"""Patrick Dovigi""","""Stephen Elias Loukas""",0
246,"""Patrick Dovigi""","""Geoffrey Robillard""",0
247,"""Patrick Dovigi""","""Brian Tellef Vaasjo""",0
248,"""Patrick Dovigi""","""Thomas J. Hofstedter""",0
249,"""Linda S. Hasenfratz""","""Bradley S. Shaw""",11
250,"""Linda S. Hasenfratz""","""Frank J. Hasenfratz""",514
251,"""Linda S. Hasenfratz""","""Norman Murray Edwards""",0
252,"""Linda S. Hasenfratz""","""Dennis Mark Bristow""",0
253,"""Linda S. Hasenfratz""","""John Lawson Thornton""",5
254,"""Linda S. Hasenfratz""","""Gerald Wilfred Schwartz""",0
255,"""Linda S. Hasenfratz""","""Alain Bedard""",0
256,"""Linda S. Hasenfratz""","""Alan Kestenbaum""",1
257,"""Linda S. Hasenfratz""","""Jim Jarrell""",71
258,"""Linda S. Hasenfratz""","""P. Jane Gavan""",3
259,"""Linda S. Hasenfratz""","""Brian P. Hannasch""",0
260,"""Linda S. Hasenfratz""","""Stephen John Hasker""",0
261,"""Linda S. Hasenfratz""","""Dani Reiss""",7
262,"""Linda S. Hasenfratz""","""Ajay Kumar Virmani""",0
263,"""Linda S. Hasenfratz""","""Donald R. Lindsay""",36
264,"""Linda S. Hasenfratz""","""Michael L. Rose""",1
265,"""Linda S. Hasenfratz""","""Robert M. Le Blanc""",1
266,"""Linda S. Hasenfratz""","""Rocco Gori""",0
267,"""Linda S. Hasenfratz""","""Keith E. Creel""",17
268,"""Linda S. Hasenfratz""","""Sean Boyd""",19
269,"""Linda S. Hasenfratz""","""Anthony Paul Makuch""",0
270,"""Linda S. Hasenfratz""","""Paul Anthony Mahon""",0
271,"""Linda S. Hasenfratz""","""Barry Sean McInerney""",0
272,"""Linda S. Hasenfratz""","""Jose Boisjoli""",2
273,"""Linda S. Hasenfratz""","""Timothy Shawn McKay""",0
274,"""Linda S. Hasenfratz""","""Jean Gattuso""",0
275,"""Linda S. Hasenfratz""","""Michael Bennett Medline""",0
276,"""Linda S. Hasenfratz""","""Al Monaco""",38
277,"""Linda S. Hasenfratz""","""Geoffrey T. Martin""",0
278,"""Linda S. Hasenfratz""","""Robert Andrew Mionis""",0
279,"""Linda S. Hasenfratz""","""Joseph C. Papa""",12
280,"""Linda S. Hasenfratz""","""Peter J. Marrone""",0
281,"""Linda S. Hasenfratz""","""Jamie Bennett Porteous""",0
282,"""Linda S. Hasenfratz""","""Charles J. G. Brindamour""",3
283,"""Linda S. Hasenfratz""","""Anthony Munk""",15
284,"""Linda S. Hasenfratz""","""Jean-Guy Desjardins""",0
285,"""Linda S. Hasenfratz""","""Jeffrey Robert Carney""",0
286,"""Linda S. Hasenfratz""","""Francois Olivier""",11
287,"""Linda S. Hasenfratz""","""Randall L. Crawford""",2
288,"""Linda S. Hasenfratz""","""Kevin Andrew McCreadie""",0
289,"""Linda S. Hasenfratz""","""Damon Murchison""",0
290,"""Linda S. Hasenfratz""","""Alan Schwartz""",0
291,"""Linda S. Hasenfratz""","""Neil Rossy""",9
292,"""Linda S. Hasenfratz""","""Ann M. Fandozzi""",0
293,"""Linda S. Hasenfratz""","""Glenn J. Chamandy""",9
294,"""Linda S. Hasenfratz""","""John S. Chen""",14
295,"""Linda S. Hasenfratz""","""Galen G. Weston""",24
296,"""Linda S. Hasenfratz""","""Gary Berman""",0
297,"""Linda S. Hasenfratz""","""Daniel Racine""",0
298,"""Linda S. Hasenfratz""","""Michael H. McCain""",34
299,"""Linda S. Hasenfratz""","""Peter F. Grosskopf""",0
300,"""Linda S. Hasenfratz""","""David Eric Klein""",0
301,"""Linda S. Hasenfratz""","""W. Whitney George""",1
302,"""Linda S. Hasenfratz""","""Brian Johnston Porter""",0
303,"""Linda S. Hasenfratz""","""Graham Patrick Shuttleworth""",0
304,"""Linda S. Hasenfratz""","""William Darryl White""",0
305,"""Linda S. Hasenfratz""","""Stephen Clarkson Peacher""",0
306,"""Linda S. Hasenfratz""","""Derek Neldner""",0
307,"""Linda S. Hasenfratz""","""Bharat B. Masrani""",18
308,"""Linda S. Hasenfratz""","""Kevin J. Thomson""",0
309,"""Linda S. Hasenfratz""","""David Gerard Hutchens""",0
310,"""Linda S. Hasenfratz""","""Luc Mongeau""",0
311,"""Linda S. Hasenfratz""","""Michael J. Cooper""",10
312,"""Linda S. Hasenfratz""","""Steven R. Spaulding""",1
313,"""Linda S. Hasenfratz""","""Navjeet Singh Dhillon""",0
314,"""Linda S. Hasenfratz""","""Laurent Ferreira""",0
315,"""Linda S. Hasenfratz""","""Photis Peter Pascali""",0
316,"""Linda S. Hasenfratz""","""Mirko Bibic""",16
317,"""Linda S. Hasenfratz""","""Scott Carlyle Balfour""",0
318,"""Linda S. Hasenfratz""","""George Raymond Burns""",0
319,"""Linda S. Hasenfratz""","""Randy V. J. Smallwood""",9
320,"""Linda S. Hasenfratz""","""Timothy Michael Miller""",0
321,"""Linda S. Hasenfratz""","""Eric Richer La Fleche""",0
322,"""Linda S. Hasenfratz""","""Terrance Lloyd McKibbon""",0
323,"""Linda S. Hasenfratz""","""Joseph M. Natale""",1
324,"""Linda S. Hasenfratz""","""Michael Cammarata""",0
325,"""Linda S. Hasenfratz""","""Claude Bigras""",0
326,"""Linda S. Hasenfratz""","""Ewout R. Heersink""",0
327,"""Linda S. Hasenfratz""","""L. Scott Thomson""",30
328,"""Linda S. Hasenfratz""","""Pauline Dhillon""",0
329,"""Linda S. Hasenfratz""","""David I. McKay""",32
330,"""Linda S. Hasenfratz""","""Bradley William Corson""",0
331,"""Linda S. Hasenfratz""","""Louis Vachon """,15
332,"""Linda S. Hasenfratz""","""Jose E. Cil""",1
333,"""Linda S. Hasenfratz""","""Nancy C. Southern""",13
334,"""Linda S. Hasenfratz""","""Donald B. Kayne""",1
335,"""Linda S. Hasenfratz""","""Peter Gerald Jan Kukielski""",0
336,"""Linda S. Hasenfratz""","""Daniel Barclay""",1
337,"""Linda S. Hasenfratz""","""Trevor English""",0
338,"""Linda S. Hasenfratz""","""Zoran Stakic""",0
339,"""Linda S. Hasenfratz""","""Alain Bouchard""",20
340,"""Linda S. Hasenfratz""","""Frank Patrick D'Eramo""",0
341,"""Linda S. Hasenfratz""","""Donald M. Jenkins""",0
342,"""Linda S. Hasenfratz""","""Madhu Ranganathan""",0
343,"""Linda S. Hasenfratz""","""Richard Lord""",0
344,"""Linda S. Hasenfratz""","""Anil Wadhwani""",1
345,"""Linda S. Hasenfratz""","""Kevan S. Gorrie""",1
346,"""Linda S. Hasenfratz""","""Ian L. Edwards""",2
347,"""Linda S. Hasenfratz""","""Martin Schwartz""",0
348,"""Linda S. Hasenfratz""","""Jeffrey Schwartz""",2
349,"""Linda S. Hasenfratz""","""Jeff Segel""",0
350,"""Linda S. Hasenfratz""","""Jay A. Forbes""",3
351,"""Linda S. Hasenfratz""","""Thomas J. Appio""",0
352,"""Linda S. Hasenfratz""","""Michael Steinmann""",4
353,"""Linda S. Hasenfratz""","""Simon David Harrison""",0
354,"""Linda S. Hasenfratz""","""Siegfried W. Kiefer""",0
355,"""Linda S. Hasenfratz""","""Timothy Alexander Miller""",0
356,"""Linda S. Hasenfratz""","""Christopher Allan Govan""",0
357,"""Linda S. Hasenfratz""","""Victor G. Dodig""",578
358,"""Linda S. Hasenfratz""","""Paul S. Herendeen""",0
359,"""Linda S. Hasenfratz""","""Mark Kenney""",7
360,"""Linda S. Hasenfratz""","""Geert Verellen""",0
361,"""Linda S. Hasenfratz""","""Ian M. Fillinger""",0
362,"""Linda S. Hasenfratz""","""Robert P. Wildeboer""",0
363,"""Linda S. Hasenfratz""","""Worthing F. Jackman""",6
364,"""Linda S. Hasenfratz""","""Richard Dufresne""",0
365,"""Linda S. Hasenfratz""","""Paul McAleese""",0
366,"""Linda S. Hasenfratz""","""Joseph D. Randell""",1
367,"""Linda S. Hasenfratz""","""Marc Parent""",27
368,"""Linda S. Hasenfratz""","""Stephen Elias Loukas""",0
369,"""Linda S. Hasenfratz""","""Geoffrey Robillard""",0
370,"""Linda S. Hasenfratz""","""Brian Tellef Vaasjo""",0
371,"""Linda S. Hasenfratz""","""Thomas J. Hofstedter""",11
372,"""Bradley S. Shaw""","""Frank J. Hasenfratz""",0
373,"""Bradley S. Shaw""","""Norman Murray Edwards""",0
374,"""Bradley S. Shaw""","""Dennis Mark Bristow""",0
375,"""Bradley S. Shaw""","""John Lawson Thornton""",0
376,"""Bradley S. Shaw""","""Gerald Wilfred Schwartz""",0
377,"""Bradley S. Shaw""","""Alain Bedard""",1
378,"""Bradley S. Shaw""","""Alan Kestenbaum""",0
379,"""Bradley S. Shaw""","""Jim Jarrell""",1
380,"""Bradley S. Shaw""","""P. Jane Gavan""",0
381,"""Bradley S. Shaw""","""Brian P. Hannasch""",0
382,"""Bradley S. Shaw""","""Stephen John Hasker""",0
383,"""Bradley S. Shaw""","""Dani Reiss""",9
384,"""Bradley S. Shaw""","""Ajay Kumar Virmani""",0
385,"""Bradley S. Shaw""","""Donald R. Lindsay""",13
386,"""Bradley S. Shaw""","""Michael L. Rose""",8
387,"""Bradley S. Shaw""","""Robert M. Le Blanc""",0
388,"""Bradley S. Shaw""","""Rocco Gori""",0
389,"""Bradley S. Shaw""","""Keith E. Creel""",3
390,"""Bradley S. Shaw""","""Sean Boyd""",1
391,"""Bradley S. Shaw""","""Anthony Paul Makuch""",0
392,"""Bradley S. Shaw""","""Paul Anthony Mahon""",0
393,"""Bradley S. Shaw""","""Barry Sean McInerney""",0
394,"""Bradley S. Shaw""","""Jose Boisjoli""",1
395,"""Bradley S. Shaw""","""Timothy Shawn McKay""",0
396,"""Bradley S. Shaw""","""Jean Gattuso""",0
397,"""Bradley S. Shaw""","""Michael Bennett Medline""",0
398,"""Bradley S. Shaw""","""Al Monaco""",1030
399,"""Bradley S. Shaw""","""Geoffrey T. Martin""",1
400,"""Bradley S. Shaw""","""Robert Andrew Mionis""",0
401,"""Bradley S. Shaw""","""Joseph C. Papa""",3
402,"""Bradley S. Shaw""","""Peter J. Marrone""",0
403,"""Bradley S. Shaw""","""Jamie Bennett Porteous""",0
404,"""Bradley S. Shaw""","""Charles J. G. Brindamour""",0
405,"""Bradley S. Shaw""","""Anthony Munk""",0
406,"""Bradley S. Shaw""","""Jean-Guy Desjardins""",0
407,"""Bradley S. Shaw""","""Jeffrey Robert Carney""",0
408,"""Bradley S. Shaw""","""Francois Olivier""",2
409,"""Bradley S. Shaw""","""Randall L. Crawford""",0
410,"""Bradley S. Shaw""","""Kevin Andrew McCreadie""",0
411,"""Bradley S. Shaw""","""Damon Murchison""",0
412,"""Bradley S. Shaw""","""Alan Schwartz""",0
413,"""Bradley S. Shaw""","""Neil Rossy""",1
414,"""Bradley S. Shaw""","""Ann M. Fandozzi""",0
415,"""Bradley S. Shaw""","""Glenn J. Chamandy""",1
416,"""Bradley S. Shaw""","""John S. Chen""",0
417,"""Bradley S. Shaw""","""Galen G. Weston""",10
418,"""Bradley S. Shaw""","""Gary Berman""",1
419,"""Bradley S. Shaw""","""Daniel Racine""",1
420,"""Bradley S. Shaw""","""Michael H. McCain""",9
421,"""Bradley S. Shaw""","""Peter F. Grosskopf""",0
422,"""Bradley S. Shaw""","""David Eric Klein""",0
423,"""Bradley S. Shaw""","""W. Whitney George""",0
424,"""Bradley S. Shaw""","""Brian Johnston Porter""",0
425,"""Bradley S. Shaw""","""Graham Patrick Shuttleworth""",0
426,"""Bradley S. Shaw""","""William Darryl White""",0
427,"""Bradley S. Shaw""","""Stephen Clarkson Peacher""",0
428,"""Bradley S. Shaw""","""Derek Neldner""",0
429,"""Bradley S. Shaw""","""Bharat B. Masrani""",1
430,"""Bradley S. Shaw""","""Kevin J. Thomson""",0
431,"""Bradley S. Shaw""","""David Gerard Hutchens""",0
432,"""Bradley S. Shaw""","""Luc Mongeau""",0
433,"""Bradley S. Shaw""","""Michael J. Cooper""",0
434,"""Bradley S. Shaw""","""Steven R. Spaulding""",1
435,"""Bradley S. Shaw""","""Navjeet Singh Dhillon""",0
436,"""Bradley S. Shaw""","""Laurent Ferreira""",0
437,"""Bradley S. Shaw""","""Photis Peter Pascali""",0
438,"""Bradley S. Shaw""","""Mirko Bibic""",13
439,"""Bradley S. Shaw""","""Scott Carlyle Balfour""",0
440,"""Bradley S. Shaw""","""George Raymond Burns""",0
441,"""Bradley S. Shaw""","""Randy V. J. Smallwood""",0
442,"""Bradley S. Shaw""","""Timothy Michael Miller""",0
443,"""Bradley S. Shaw""","""Eric Richer La Fleche""",0
444,"""Bradley S. Shaw""","""Terrance Lloyd McKibbon""",0
445,"""Bradley S. Shaw""","""Joseph M. Natale""",1
446,"""Bradley S. Shaw""","""Michael Cammarata""",0
447,"""Bradley S. Shaw""","""Claude Bigras""",0
448,"""Bradley S. Shaw""","""Ewout R. Heersink""",0
449,"""Bradley S. Shaw""","""L. Scott Thomson""",8
450,"""Bradley S. Shaw""","""Pauline Dhillon""",0
